Pit,TopDepth,BottomDepth,MidDepth,coarseroot_g.cm3,fineroot _g.cm3,root_g.cm3,fine root_g.m2
1,0,10,5,0.0016776,0.008166871,0.009844471,816.6870517
1,10,20,15,0.000848,0.008152449,0.009000449,815.2448817
1,20,30,25,0.0244356,0.003318827,0.027754427,331.8826806
1,30,50,40,0.0034108,0.002292185,0.005702985,458.4369053
2,0,10,5,0.0019452,0.00889144,0.01083664,889.1439891
2,10,20,15,0.0016108,0.003507832,0.005118632,350.7832215
2,20,30,25,0.0025288,0.002405,0.0049338,240.5000278
2,30,50,40,0.005151,0.001631761,0.006782761,326.3521439
3,0,10,5,0.0007856,0.006433709,0.007219309,643.3708791
3,10,20,15,0.0010412,0.003746541,0.004787741,374.6540979
3,20,30,25,0.0014056,0.006057511,0.007463111,605.7511141
3,30,50,40,0.0038464,0.002315315,0.006161715,463.0630199
3,50,80,65,0.0008104,0.000999741,0.001810141,299.9223602
3,80,100,90,0.0019036,0.001260953,0.003164553,252.1906918
